ARO	Gene Name	Antibiotic	AMR Gene Family	Drug Class	Resistance Mechanism
3005864	OXA-644	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005865	OXA-645	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005866	OXA-650	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005867	OXA-651	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005868	OXA-652	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005869	OXA-654	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005870	OXA-655	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005871	OXA-656	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005872	OXA-657	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005873	OXA-658	oxacillin	OXA beta-lactamase, OXA-184-like beta-lactamase	penam	antibiotic inactivation
3005874	OXA-659	oxacillin	OXA beta-lactamase, OXA-61-like beta-lactamase	penam	antibiotic inactivation
3005875	OXA-660	oxacillin	OXA beta-lactamase, OXA-61-like beta-lactamase	penam	antibiotic inactivation
3005876	OXA-661	oxacillin	OXA beta-lactamase, OXA-266-like beta-lactamase	penam	antibiotic inactivation
3005877	OXA-662	oxacillin	OXA beta-lactamase, OXA-211-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005878	OXA-666	oxacillin	OXA beta-lactamase	penam	antibiotic inactivation
3005879	OXA-667	oxacillin	OXA beta-lactamase, OXA-274-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005880	OXA-669	oxacillin	OXA beta-lactamase, OXA-274-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005881	OXA-670	oxacillin	OXA beta-lactamase, OXA-286-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005882	OXA-674	oxacillin	OXA beta-lactamase, OXA-286-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005883	OXA-675	oxacillin	OXA beta-lactamase, OXA-1-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005884	OXA-676	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005885	OXA-677	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005886	OXA-678	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005887	OXA-679	oxacillin	OXA beta-lactamase, OXA-679-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005888	OXA-680	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005889	OXA-682	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005890	OXA-683	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005891	OXA-684	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005892	OXA-685	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005893	OXA-686	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005894	OXA-687	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005895	OXA-688	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005896	OXA-689	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005897	OXA-690	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005898	OXA-691	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005899	OXA-692	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005900	OXA-693	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005901	OXA-694	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005902	OXA-695	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005903	OXA-696	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005904	OXA-697	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005905	OXA-698	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005906	OXA-699	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005907	OXA-700	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005908	OXA-701	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005909	OXA-702	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005910	OXA-703	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005911	OXA-704	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005912	OXA-705	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005913	OXA-706	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005914	OXA-707	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005915	OXA-708	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005916	OXA-709	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005917	OXA-710	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005918	OXA-711	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005919	OXA-712	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005920	OXA-713	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005921	OXA-714	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005922	OXA-715	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005923	OXA-716	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005924	OXA-717	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005925	OXA-718	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005926	OXA-719	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005927	OXA-720	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005928	OXA-721	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005929	OXA-722	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005930	OXA-723	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005931	OXA-726	oxacillin	OXA beta-lactamase, OXA-12-like beta-lactamase	penam	antibiotic inactivation
3005932	OXA-727	oxacillin	OXA beta-lactamase, OXA-727-like beta-lactamase	penam	antibiotic inactivation
3005933	OXA-728	oxacillin	OXA beta-lactamase, OXA-727-like beta-lactamase	penam	antibiotic inactivation
3005934	OXA-729	oxacillin	OXA beta-lactamase, OXA-55-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005935	OXA-730	oxacillin	OXA beta-lactamase, OXA-679-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005936	OXA-731	oxacillin	OXA beta-lactamase, OXA-48-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005937	OXA-732	oxacillin	OXA beta-lactamase	penam	antibiotic inactivation
3005938	OXA-733	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005939	OXA-734	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005940	OXA-735	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005941	OXA-736	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005942	OXA-738	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005943	OXA-739	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005944	OXA-740	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005945	OXA-741	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005946	OXA-742	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005947	OXA-743	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005948	OXA-744	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005949	OXA-745	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005950	OXA-746	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005951	OXA-747	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005952	OXA-748	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005953	OXA-749	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005954	OXA-750	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005955	OXA-751	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005956	OXA-752	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005957	OXA-753	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005958	OXA-754	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005959	OXA-755	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005960	OXA-756	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005961	OXA-757	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005962	OXA-758	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005963	OXA-759	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005964	OXA-760	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005965	OXA-761	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005966	OXA-762	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005967	OXA-763	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005968	OXA-764	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005969	OXA-765	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005970	OXA-766	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005971	OXA-767	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005972	OXA-768	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005973	OXA-769	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005974	OXA-770	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005975	OXA-771	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005976	OXA-772	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005977	OXA-773	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005978	OXA-774	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005979	OXA-775	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005980	OXA-776	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005981	OXA-777	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005982	OXA-778	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005983	OXA-780	oxacillin	OXA beta-lactamase	penam	antibiotic inactivation
3005984	OXA-781	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005985	OXA-782	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005986	OXA-783	oxacillin	OXA beta-lactamase, OXA-184-like beta-lactamase	penam	antibiotic inactivation
3005987	OXA-784	oxacillin	OXA beta-lactamase, OXA-61-like beta-lactamase	penam	antibiotic inactivation
3005988	OXA-785	oxacillin	OXA beta-lactamase, OXA-184-like beta-lactamase	penam	antibiotic inactivation
3005989	OXA-786	oxacillin	OXA beta-lactamase, OXA-61-like beta-lactamase	penam	antibiotic inactivation
3005990	OXA-787	oxacillin	OXA beta-lactamase, OXA-364-like beta-lactamase	penam	antibiotic inactivation
3005991	OXA-788	oxacillin	OXA beta-lactamase, OXA-48-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005992	OXA-789	oxacillin	OXA beta-lactamase, OXA-364-like beta-lactamase	penam	antibiotic inactivation
3005993	OXA-793	oxacillin	OXA beta-lactamase, OXA-48-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005994	OXA-794	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005995	OXA-795	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005996	OXA-796	oxacillin	OXA beta-lactamase, OXA-1-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3005997	OXA-797	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005998	OXA-798	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3005999	OXA-799	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006000	OXA-800	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006001	OXA-801	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006002	OXA-802	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006003	OXA-803	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006004	OXA-804	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006005	OXA-805	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006006	OXA-806	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006007	OXA-807	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006008	OXA-808	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006009	OXA-809	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006010	OXA-810	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006011	OXA-811	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006012	OXA-813	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006013	OXA-814	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006014	OXA-815	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006015	OXA-816	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006016	OXA-817	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006017	OXA-819	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006018	OXA-820	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006019	OXA-821	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006020	OXA-822	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006021	OXA-823	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3006022	OXA-824	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3006023	OXA-826	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006024	OXA-827	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3006025	OXA-828	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006026	OXA-829	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006027	OXA-830	oxacillin	OXA beta-lactamase	penam	antibiotic inactivation
3006028	OXA-831	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006029	OXA-832	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006030	OXA-833	oxacillin	OXA beta-lactamase, OXA-48-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006031	OXA-834	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006032	OXA-836	oxacillin	OXA beta-lactamase, OXA-10-like beta-lactamase	cephalosporin, penam	antibiotic inactivation
3006033	OXA-839	oxacillin	OXA beta-lactamase, OXA-114-like beta-lactamase	penam	antibiotic inactivation
3006034	OXA-840	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006035	OXA-841	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006036	OXA-842	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006037	OXA-843	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006038	OXA-844	oxacillin	OXA beta-lactamase, OXA-213-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006039	OXA-845	oxacillin	OXA beta-lactamase, OXA-214-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006040	OXA-847	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006041	OXA-848	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006042	OXA-849	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006043	OXA-851	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006044	OXA-852	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006045	OXA-853	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006046	OXA-854	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006047	OXA-855	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006048	OXA-856	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006049	OXA-857	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006050	OXA-858	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006051	OXA-859	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006052	OXA-860	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006053	OXA-861	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006054	OXA-862	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006055	OXA-863	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006056	OXA-864	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006057	OXA-865	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006058	OXA-866	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006059	OXA-867	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006060	OXA-868	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006061	OXA-869	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006062	OXA-870	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006063	OXA-871	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006064	OXA-872	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006065	OXA-873	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006066	OXA-874	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006067	OXA-875	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006068	OXA-876	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006069	OXA-877	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006070	OXA-878	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006071	OXA-879	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006072	OXA-880	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006073	OXA-881	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006074	OXA-882	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006075	OXA-883	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006076	OXA-884	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006077	OXA-885	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006078	OXA-886	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006079	OXA-887	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006080	OXA-888	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006081	OXA-889	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006082	OXA-890	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006083	OXA-891	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006084	OXA-892	oxacillin	OXA beta-lactamase, OXA-51-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006085	OXA-893	oxacillin	OXA beta-lactamase, OXA-23-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006086	OXA-894	oxacillin	OXA beta-lactamase, OXA-48-like beta-lactamase	carbapenem, penam	antibiotic inactivation
3006087	OXA-896	oxacillin	OXA beta-lactamase, OXA-9-like beta-lactamase	penam	antibiotic inactivation
3006088	OXA-900	oxacillin	OXA beta-lactamase	penam	antibiotic inactivation
3006089	OXA-901	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006090	OXA-902	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006091	OXA-903	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006092	OXA-904	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006093	OXA-905	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006094	OXA-907	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
3006095	OXA-908	oxacillin	OXA beta-lactamase, OXA-50-like beta-lactamase	penam	antibiotic inactivation
